Timestamp;Temperature
2022-11-30T14:39:12.446085;50.0
2022-11-30T14:39:45.930381;50.0
2022-11-30T14:40:02.418661;50.0
2022-11-30T14:40:19.268754;92.5
2022-11-30T14:40:35.736417;66.1
2022-11-30T14:40:52.162541;127.8
2022-11-30T14:41:09.066736;74.1
2022-11-30T14:41:25.852297;136.6
2022-11-30T14:41:42.282142;300.7
2022-11-30T14:41:42.805829;277.8
2022-11-30T14:41:43.326466;252.1
2022-11-30T14:41:43.852074;230.8
2022-11-30T14:42:02.499613;76.1
2022-11-30T14:42:19.571835;169.2
2022-11-30T14:42:36.008024;105.8
2022-11-30T14:42:52.413928;172.5
2022-11-30T14:43:09.220847;124.3
2022-11-30T14:43:25.381659;186.4
2022-11-30T14:43:41.791431;162.7
2022-11-30T14:43:57.951609;170.8
2022-11-30T14:44:14.631382;119.7
2022-11-30T14:44:30.940153;217.4
2022-11-30T14:44:47.415391;400.0
2022-11-30T14:44:47.949256;400.0
2022-11-30T14:44:48.481420;397.3
2022-11-30T14:44:49.013739;387.1
2022-11-30T14:44:49.546121;376.1
2022-11-30T14:44:50.078265;364.1
2022-11-30T14:44:50.597810;352.2
2022-11-30T14:44:51.118611;340.6
2022-11-30T14:44:51.636318;329.4
2022-11-30T14:44:52.154758;318.5
2022-11-30T14:44:52.675794;308.1
2022-11-30T14:44:53.208510;298.3
2022-11-30T14:44:53.728982;288.7
2022-11-30T14:44:54.249141;279.9
2022-11-30T14:44:54.768691;271.4
2022-11-30T14:44:55.284423;263.4
2022-11-30T14:44:55.800083;255.6
2022-11-30T14:44:56.321909;248.1
2022-11-30T14:45:14.989980;113.0
2022-11-30T14:45:31.365113;254.2
2022-11-30T14:45:31.894748;246.5
2022-11-30T14:45:48.409948;238.9
2022-11-30T14:46:04.879986;197.2
2022-11-30T14:46:21.712018;250.9
2022-11-30T14:46:22.240532;245.9
2022-11-30T14:46:38.707041;229.8
2022-11-30T14:46:55.297953;302.3
2022-11-30T14:46:55.822469;306.7
2022-11-30T14:46:56.345047;299.5
2022-11-30T14:46:56.865793;293.1
2022-11-30T14:46:57.389019;286.9
2022-11-30T14:46:57.907087;281.0
2022-11-30T14:46:58.421514;274.8
2022-11-30T14:46:58.941862;268.8
2022-11-30T14:46:59.473643;262.8
2022-11-30T14:46:59.998340;257.1
2022-11-30T14:47:00.519947;251.6
2022-11-30T14:47:01.040948;246.4
2022-11-30T14:47:17.564106;257.7
2022-11-30T14:47:18.087020;246.7
2022-11-30T14:47:34.435148;400.0
2022-11-30T14:47:34.961409;400.0
2022-11-30T14:47:35.478313;397.8
2022-11-30T14:47:36.009183;388.1
2022-11-30T14:47:36.542471;379.3
2022-11-30T14:47:37.066643;372.2
2022-11-30T14:47:37.600811;364.9
2022-11-30T14:47:38.121065;358.3
2022-11-30T14:47:38.653762;351.9
2022-11-30T14:47:39.186651;345.6
2022-11-30T14:47:39.716845;339.8
2022-11-30T14:47:40.237428;334.2
2022-11-30T14:47:40.768391;328.3
2022-11-30T14:47:41.289117;322.4
2022-11-30T14:47:41.808147;315.6
2022-11-30T14:47:42.342242;307.4
2022-11-30T14:47:42.858692;299.4
2022-11-30T14:47:43.378999;291.7
2022-11-30T14:47:43.899102;284.2
2022-11-30T14:47:44.419848;277.0
2022-11-30T14:47:44.941565;270.1
2022-11-30T14:47:45.469400;263.3
2022-11-30T14:47:46.000918;256.6
2022-11-30T14:47:46.515539;250.3
2022-11-30T14:47:47.047467;244.1
2022-11-30T14:48:05.648031;138.9
2022-11-30T14:48:22.039812;263.8
2022-11-30T14:48:22.565790;259.9
2022-11-30T14:48:23.086142;254.1
2022-11-30T14:48:23.618132;248.5
2022-11-30T14:48:40.149392;267.5
2022-11-30T14:48:40.674172;260.3
2022-11-30T14:48:41.203167;255.0
2022-11-30T14:48:41.734817;249.5
2022-11-30T14:48:58.194865;295.3
2022-11-30T14:48:58.720226;300.6
2022-11-30T14:48:59.249214;296.5
2022-11-30T14:48:59.769118;292.0
2022-11-30T14:49:00.301979;287.2
2022-11-30T14:49:00.822788;282.5
2022-11-30T14:49:01.339517;277.6
2022-11-30T14:49:01.871838;272.9
2022-11-30T14:49:02.402928;268.3
2022-11-30T14:49:02.925265;264.0
2022-11-30T14:49:03.449017;259.7
2022-11-30T14:49:03.969292;255.5
2022-11-30T14:49:04.489401;251.7
2022-11-30T14:49:05.009492;247.7
2022-11-30T14:49:21.709036;259.1
2022-11-30T14:49:22.241610;253.6
2022-11-30T14:49:22.764453;248.7
2022-11-30T14:49:39.348041;212.5
2022-11-30T14:49:56.110740;364.2
2022-11-30T14:49:56.633723;369.3
2022-11-30T14:49:57.153075;363.4
2022-11-30T14:49:57.685127;357.8
2022-11-30T14:49:58.204572;352.7
2022-11-30T14:49:58.735189;347.3
2022-11-30T14:49:59.255720;342.2
2022-11-30T14:49:59.793030;336.8
2022-11-30T14:50:00.315981;331.8
2022-11-30T14:50:00.837650;326.7
2022-11-30T14:50:01.357296;321.7
2022-11-30T14:50:01.876875;316.9
2022-11-30T14:50:02.409255;312.1
2022-11-30T14:50:02.933029;307.4
2022-11-30T14:50:03.465705;302.6
2022-11-30T14:50:03.993189;298.3
2022-11-30T14:50:04.510433;293.7
2022-11-30T14:50:05.042016;289.3
2022-11-30T14:50:05.559404;285.0
2022-11-30T14:50:06.092786;280.7
2022-11-30T14:50:06.626974;276.6
2022-11-30T14:50:07.151442;272.6
2022-11-30T14:50:07.683169;268.6
